"filename", "language", "TypeScript", "HTML", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\active-schedule\active-schedule-routing.module.ts", "TypeScript", 11, 0, 0, 0, 0, 3, 14
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\active-schedule\active-schedule.module.ts", "TypeScript", 44, 0, 0, 0, 0, 3, 47
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\active-schedule\generate\generate.component.css", "CSS", 0, 0, 16, 0, 0, 2, 18
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\active-schedule\generate\generate.component.html", "HTML", 0, 151, 0, 0, 0, 4, 155
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\active-schedule\generate\generate.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\active-schedule\generate\generate.component.ts", "TypeScript", 121, 0, 0, 0, 0, 10, 131
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\ad-groups\ad-groups.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\ad-groups\ad-groups.component.html", "HTML", 0, 59, 0, 0, 0, 1, 60
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\ad-groups\ad-groups.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\ad-groups\ad-groups.component.ts", "TypeScript", 32, 0, 0, 0, 0, 4, 36
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\ad-users\ad-users.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\ad-users\ad-users.component.html", "HTML", 0, 59, 0, 0, 0, 1, 60
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\ad-users\ad-users.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\ad-users\ad-users.component.ts", "TypeScript", 33, 0, 0, 0, 0, 3, 36
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\admin-routing.module.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\admin.module.ts", "TypeScript", 45, 0, 0, 0, 0, 4, 49
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\roles\roles.component.css", "CSS", 0, 0, 12, 0, 0, 1, 13
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\roles\roles.component.html", "HTML", 0, 110, 0, 0, 0, 2, 112
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\roles\roles.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\admin\roles\roles.component.ts", "TypeScript", 76, 0, 0, 0, 1, 6, 83
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\adherence-by-hos\adherence-by-hos.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\adherence-by-hos\adherence-by-hos.component.html", "HTML", 0, 6, 0, 0, 0, 1, 7
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\adherence-by-hos\adherence-by-hos.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\adherence-by-hos\adherence-by-hos.component.ts", "TypeScript", 22, 0, 0, 0, 0, 5, 27
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\analysis-routing.module.ts", "TypeScript", 11, 0, 0, 0, 0, 3, 14
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\analysis.module.ts", "TypeScript", 54, 0, 0, 0, 0, 4, 58
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\daily-report\daily-report.component.css", "CSS", 0, 0, 0, 0, 0, 3, 3
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\daily-report\daily-report.component.html", "HTML", 0, 40, 0, 0, 0, 2, 42
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\daily-report\daily-report.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\daily-report\daily-report.component.ts", "TypeScript", 62, 0, 0, 0, 0, 6, 68
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\leader-board\leader-board.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\leader-board\leader-board.component.html", "HTML", 0, 23, 0, 0, 0, 5, 28
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\leader-board\leader-board.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\analysis\leader-board\leader-board.component.ts", "TypeScript", 48, 0, 0, 0, 2, 4, 54
